28,16,0.02,-10,-0.14,-0.01,,
0,33,-0.3,-9.76,-0.46,0.02,-0.01,
0,33,0.8,-8.94,1.07,0.02,-0.01,
0,33,0.8,-8.94,1.07,-0.02,0,
0,33,0.85,-9.52,-0.21,-0.02,0,
0,33,0.85,-9.52,-0.21,-0.02,0,
0,33,0.85,-9.52,-0.21,0,-0.01,
0,33,-1.02,-10.65,-0.38,-0.02,-0.01,
0,33,-1.02,-10.65,-0.38,-0.02,-0.01,
0,33,-1.02,-10.65,-0.38,0,-0.01,
0,33,0.19,-9.97,-0.32,0,-0.01,
0,33,0.19,-9.97,-0.32,0,-0.01,
0,33,0.19,-9.97,-0.32,0,-0.01,
0,33,0.27,-10.07,0.25,0.01,-0.01,
0,33,0.27,-10.07,0.25,0.01,-0.01,
0,33,0.27,-10.07,0.25,-0.01,-0.01,
0,33,0.57,-9.86,0.46,-0.02,-0.01,
0,33,0.57,-9.86,0.46,-0.02,-0.01,
0,33,0.57,-9.86,0.46,-0.01,0,
0,33,0.08,-10.29,-0.15,-0.01,0,
0,33,0.08,-10.29,-0.15,-0.01,0,
0,33,0.08,-10.29,-0.15,-0.01,-0.01,
0,33,-0.53,-9.96,-0.31,0,-0.01,
0,33,-0.53,-9.96,-0.31,0,-0.01,
0,33,-0.53,-9.96,-0.31,-0.01,-0.01,
0,33,0.39,-10.14,-0.46,-0.01,-0.01,
0,33,0.39,-10.14,-0.46,0,-0.01,
0,33,0.39,-10.14,-0.46,-0.01,-0.01,
0,33,0.06,-9.92,-0.05,-0.01,-0.01,
0,33,0.06,-9.92,-0.05,-0.01,-0.01,
0,33,0.06,-9.92,-0.05,-0.01,-0.01,
0,33,0.13,-10.24,-0.13,-0.01,-0.01,
0,33,0.13,-10.24,-0.13,-0.01,-0.01,
0,33,0.13,-10.24,-0.13,0,-0.01,
0,33,-0.07,-9.98,-0.07,0,-0.01,
0,33,-0.07,-9.98,-0.07,-0.01,-0.01,
0,33,-0.07,-9.98,-0.07,0,-0.01,
0,33,0.11,-9.96,0.07,0,-0.01,
0,33,0.11,-9.96,0.07,-0.01,-0.01,
0,33,0.11,-9.96,0.07,-0.01,-0.01,
0,33,0.14,-9.97,-0.05,-0.01,-0.01,
0,33,0.14,-9.97,-0.05,0,-0.01,
0,33,0.14,-9.97,-0.05,-0.01,-0.01,
0,33,-0.22,-10.16,-0.27,-0.01,-0.01,
0,34,-0.22,-10.16,-0.27,-0.01,-0.01,
0,34,-0.05,-10.07,-0.23,0,-0.01,
0,34,-0.05,-10.07,-0.23,0,-0.01,
0,34,-0.05,-10.07,-0.23,-0.01,-0.01,
0,34,0.02,-10,-0.03,0,-0.01,
0,34,0.02,-10,-0.03,0,-0.01,
0,34,0.02,-10,-0.03,0,-0.01,
0,34,0.12,-9.94,-0.12,-0.01,-0.01,
0,34,0.12,-9.94,-0.12,-0.01,-0.01,
0,34,0.12,-9.94,-0.12,0,0,
0,34,-0.02,-10.11,-0.12,-0.01,-0.01,
0,34,-0.02,-10.11,-0.12,-0.01,-0.01,
0,34,-0.02,-10.11,-0.12,-0.01,-0.01,
0,34,0.04,-10.06,-0.17,-0.01,-0.01,
0,34,0.04,-10.06,-0.17,-0.01,-0.01,
0,34,0.04,-10.06,-0.17,-0.01,-0.01,
0,34,-0.03,-10.04,-0.11,-0.01,-0.01,
0,34,-0.03,-10.04,-0.11,-0.01,-0.01,
0,34,0,-9.96,-0.02,-0.01,-0.01,
0,34,0,-9.96,-0.02,-0.01,-0.01,
0,34,0,-9.96,-0.02,-0.01,-0.01,
0,34,0,-10.02,-0.17,0,-0.01,
0,34,0,-10.02,-0.17,-0.01,-0.01,
0,34,0,-10.02,-0.17,-0.01,-0.01,
0,34,-0.07,-10.04,-0.06,-0.01,-0.01,
0,34,-0.07,-10.04,-0.06,0,-0.01,
0,34,-0.07,-10.04,-0.06,0,-0.01,
0,34,0,-10.03,-0.08,0,-0.01,
0,34,0,-10.03,-0.08,-0.01,-0.01,
0,34,0,-10.03,-0.08,-0.01,-0.01,
0,34,-0.06,-10.07,-0.15,-0.01,-0.01,
0,34,-0.06,-10.07,-0.15,-0.01,-0.01,
0,34,0.06,-10.02,-0.15,0,-0.01,
0,34,0.06,-10.02,-0.15,0,-0.01,
0,34,0.06,-10.02,-0.15,-0.01,-0.01,
0,34,-0.01,-10.04,-0.08,-0.01,-0.01,
0,34,-0.01,-10.04,-0.08,-0.01,-0.01,
0,34,-0.01,-10.04,-0.08,-0.01,-0.01,
0,34,0.08,-9.98,-0.18,-0.01,-0.01,
0,34,0.08,-9.98,-0.18,-0.01,-0.01,
0,34,0.08,-9.98,-0.18,-0.01,-0.01,
0,34,-0.05,-10.07,-0.08,0,-0.01,
0,34,-0.05,-10.07,-0.08,0,-0.01,
0,34,-0.05,-10.07,-0.08,-0.01,0,
0,34,0.06,-9.99,-0.15,-0.01,-0.01,
0,34,0.06,-9.99,-0.15,-0.01,-0.01,
0,34,0.03,-10.05,-0.06,-0.01,-0.01,
0,34,0.03,-10.05,-0.06,-0.01,-0.01,
0,34,0.03,-10.05,-0.06,-0.01,-0.01,
0,34,0.03,-10.02,-0.13,0,-0.01,
0,34,0.03,-10.02,-0.13,-0.01,-0.01,
0,34,0.03,-10.02,-0.13,-0.01,-0.01,
0,34,0.05,-10.09,-0.16,-0.01,-0.01,
0,34,0.05,-10.09,-0.16,-0.01,-0.01,
0,34,0.05,-10.09,-0.16,-0.01,-0.01,
0,34,0,-10.05,-0.14,0,-0.01,
0,34,0,-10.05,-0.14,-0.01,-0.01,
0,34,0,-10.05,-0.14,-0.01,-0.01,
0,34,-0.03,-10.08,-0.13,-0.01,-0.01,
0,34,-0.03,-10.08,-0.13,-0.01,-0.01,
0,34,-0.03,-10.08,-0.13,-0.01,-0.01,
0,34,0.02,-10.01,-0.16,0,-0.01,
0,34,0.02,-10.01,-0.16,0,-0.01,
0,34,0.03,-10.07,-0.13,-0.01,-0.01,
0,34,0.03,-10.07,-0.13,-0.01,-0.01,
0,34,0.03,-10.07,-0.13,-0.01,-0.01,
0,34,-0.01,-10.01,-0.13,-0.01,-0.01,
0,34,-0.01,-10.01,-0.13,-0.01,-0.01,
0,34,-0.01,-10.01,-0.13,-0.01,-0.01,
0,34,-0.02,-10.07,-0.14,-0.01,-0.01,
0,34,-0.02,-10.07,-0.14,-0.01,-0.01,
0,34,-0.02,-10.07,-0.14,-0.01,-0.01,
0,34,0.08,-10.03,-0.11,-0.01,-0.01,
0,34,0.08,-10.03,-0.11,-0.01,-0.01,
0,34,0.08,-10.03,-0.11,-0.01,-0.01,
0,34,0.03,-10.01,-0.08,-0.01,-0.01,
0,34,0.03,-10.01,-0.08,-0.01,-0.01,
0,34,0.03,-10.01,-0.08,-0.01,-0.01,
0,34,0.05,-10.06,-0.04,-0.01,-0.01,
0,34,0.05,-10.06,-0.04,0,-0.01,
0,34,0.05,-10.06,-0.04,-0.01,-0.01,
0,34,-0.03,-10.06,-0.1,-0.01,-0.01,
0,34,-0.03,-10.06,-0.1,0,-0.01,
0,34,-0.03,-10.06,-0.1,0,-0.01,
0,34,0.02,-10.07,-0.12,0,-0.01,
0,34,0.02,-10.07,-0.12,-0.01,-0.01,
0,34,0.02,-10.07,-0.12,-0.01,-0.01,
0,34,0.04,-10.06,-0.14,-0.01,-0.01,
0,34,0.04,-10.06,-0.14,0,-0.01,
0,34,0.04,-10.06,-0.14,-0.01,-0.01,
0,34,0.09,-10,-0.15,-0.01,-0.01,
0,34,0.09,-10,-0.15,-0.01,-0.01,
0,34,-0.04,-10,-0.1,0,-0.01,
0,34,-0.04,-10,-0.1,0,-0.01,
0,34,-0.04,-10,-0.1,-0.01,-0.01,
0,34,0.07,-10.07,-0.12,-0.01,-0.01,
0,34,0.07,-10.07,-0.12,-0.01,-0.01,
0,34,0.07,-10.07,-0.12,0,-0.01,
0,34,0.02,-10.01,-0.11,0,-0.01,
0,34,0.02,-10.01,-0.11,0,-0.01,
0,34,0.02,-10.01,-0.11,0,-0.01,
0,34,0.06,-9.99,-0.13,-0.01,-0.01,
0,34,0.06,-9.99,-0.13,-0.01,-0.01,
0,34,0.06,-9.99,-0.13,-0.01,-0.01,
0,34,-0.01,-10.01,-0.18,0,-0.01,
0,34,-0.01,-10.01,-0.18,0,-0.01,
0,34,-0.01,-10.01,-0.18,-0.01,-0.01,
0,34,-0.03,-10.06,-0.13,-0.01,-0.01,
0,34,-0.03,-10.06,-0.13,-0.01,-0.01,
0,34,0.04,-10.02,-0.12,-0.01,-0.01,
0,34,0.04,-10.02,-0.12,-0.01,-0.01,
0,34,0.04,-10.02,-0.12,-0.01,-0.01,
0,34,0.08,-10.03,-0.1,-0.01,-0.01,
0,34,0.08,-10.03,-0.1,-0.01,-0.01,
0,34,0.08,-10.03,-0.1,-0.01,-0.01,
0,34,0.06,-10.05,-0.12,-0.01,-0.01,
0,34,0.06,-10.05,-0.12,-0.01,-0.01,
0,34,0.06,-10.05,-0.12,-0.01,-0.01,
0,34,-0.01,-10.07,-0.1,0,-0.01,
0,34,-0.01,-10.07,-0.1,0,-0.01,
0,34,-0.01,-10.07,-0.1,0,-0.01,
0,34,0.02,-9.99,-0.16,-0.01,-0.01,
0,34,0.02,-9.99,-0.16,-0.01,0,
0,34,0.02,-10.04,-0.08,-0.01,-0.01,
0,34,0.02,-10.04,-0.08,-0.01,-0.01,
0,34,0.02,-10.04,-0.08,-0.01,-0.01,
0,34,-0.07,-10.07,-0.11,-0.01,-0.01,
0,34,-0.07,-10.07,-0.11,-0.01,-0.01,
0,34,-0.07,-10.07,-0.11,0,-0.01,
0,34,0,-10.07,-0.11,-0.01,-0.01,
0,34,0,-10.07,-0.11,-0.01,-0.01,
0,34,0,-10.07,-0.11,-0.01,-0.01,
0,34,-0.03,-10.02,-0.11,0,-0.01,
0,34,-0.03,-10.02,-0.11,-0.01,-0.01,
0,34,0.05,-10.02,-0.1,-0.01,-0.01,
0,34,0.05,-10.02,-0.1,-0.01,-0.01,
0,34,0.05,-10.02,-0.1,0,-0.01,
0,34,-0.02,-10.07,-0.13,0,-0.01,
0,34,-0.02,-10.07,-0.13,-0.01,-0.01,
0,34,-0.02,-10.07,-0.13,-0.01,-0.01,
0,34,0.04,-10.06,-0.14,-0.01,-0.01,
0,34,0.04,-10.06,-0.14,0,-0.01,
0,34,0.04,-10.06,-0.14,-0.01,-0.01,
0,34,0,-10,-0.13,-0.01,-0.01,
0,34,0,-10,-0.13,-0.01,-0.01,
0,34,0,-10,-0.13,-0.01,-0.01,
0,34,0.01,-10.07,-0.09,-0.01,-0.01,
0,34,0.01,-10.07,-0.09,0,-0.01,
0,34,0,-10.07,-0.1,-0.01,-0.01,
0,34,0,-10.07,-0.1,-0.01,-0.01,
0,34,0,-10.07,-0.1,-0.01,-0.01,
0,34,0.01,-10.09,-0.13,0,-0.01,
0,34,0.01,-10.09,-0.13,0,0,
0,35,0.01,-10.09,-0.13,0,0,
0,35,0.04,-10.01,-0.17,-0.01,-0.01,
0,35,0.04,-10.01,-0.17,-0.01,-0.01,
0,35,0.04,-10.01,-0.17,-0.01,-0.01,
0,35,0.04,-10.06,-0.19,-0.01,-0.01,
0,35,0.04,-10.06,-0.19,0,-0.01,
0,35,-0.05,-10.04,-0.14,0,-0.01,
0,35,-0.05,-10.04,-0.14,0,-0.01,
0,35,-0.05,-10.04,-0.14,-0.01,-0.01,
0,35,0.04,-10.05,-0.11,-0.01,-0.01,
0,35,0.04,-10.05,-0.11,-0.01,-0.01,
0,35,0.04,-10.05,-0.11,-0.01,-0.01,
0,35,0.01,-9.99,-0.1,-0.01,-0.01,
0,35,0.01,-9.99,-0.1,0,-0.01,
0,35,0.01,-9.99,-0.1,-0.01,-0.01,
0,35,-0.04,-10.05,-0.13,-0.01,-0.01,
0,35,-0.04,-10.05,-0.13,-0.01,-0.01,
0,35,-0.04,-10.05,-0.13,-0.01,-0.01,
0,35,0.02,-10.05,-0.14,-0.01,-0.01,
0,35,0.02,-10.05,-0.14,-0.01,-0.01,
0,35,0.02,-10.05,-0.14,-0.01,-0.01,
0,35,0.04,-9.97,-0.1,-0.01,-0.01,
0,35,0.04,-9.97,-0.1,-0.01,-0.01,
0,35,0.04,-9.97,-0.1,0,-0.01,
0,35,0.11,-10.05,-0.13,0,-0.01,
0,35,0.11,-10.05,-0.13,-0.01,-0.01,
0,35,0.11,-10.05,-0.13,-0.01,-0.01,
0,35,0.03,-10.02,-0.13,-0.01,-0.01,
0,35,0.03,-10.02,-0.13,-0.01,0,
0,35,-0.02,-10.03,-0.18,-0.01,-0.01,
0,35,-0.02,-10.03,-0.18,-0.01,-0.01,
0,35,-0.02,-10.03,-0.18,-0.01,-0.01,
0,35,0.01,-9.99,-0.03,-0.01,-0.01,
0,35,0.01,-9.99,-0.03,-0.01,-0.01,
0,35,0.01,-9.99,-0.03,-0.01,-0.01,
0,35,0,-10.05,-0.14,0,-0.01,
0,35,0,-10.05,-0.14,0,-0.01,
0,35,0,-10.05,-0.14,-0.01,-0.01,
0,35,-0.02,-10.02,-0.13,-0.01,-0.01,
0,35,-0.02,-10.02,-0.13,-0.01,-0.01,
0,35,-0.02,-10.02,-0.13,0,-0.01,
0,35,0.07,-10.06,-0.1,-0.01,-0.01,
0,35,0.07,-10.06,-0.1,-0.01,-0.01,
0,35,0.07,-10.06,-0.1,0,-0.01,
0,35,0.03,-10.02,-0.09,-0.01,0,
0,35,0.03,-10.02,-0.09,-0.01,0,
0,35,0.01,-10.02,-0.14,-0.01,0,
0,35,0.01,-10.02,-0.14,-0.01,-0.01,
0,35,0.01,-10.02,-0.14,-0.01,-0.01,
0,35,-0.03,-10.08,-0.12,-0.01,-0.01,
0,35,-0.03,-10.08,-0.12,0,-0.01,
0,35,-0.03,-10.08,-0.12,0,-0.01,
0,35,0,-10.03,-0.15,-0.01,-0.01,
0,35,0,-10.03,-0.15,-0.01,-0.01,
0,35,0,-10.03,-0.15,-0.01,-0.01,
0,35,0.03,-10.05,-0.08,0,-0.01,
0,35,0.03,-10.05,-0.08,-0.01,-0.01,
0,35,0.03,-10.05,-0.08,-0.01,-0.01,
0,35,0.03,-10,-0.06,-0.01,-0.01,
0,35,0.03,-10,-0.06,-0.01,-0.01,
0,35,0.03,-10,-0.06,0,-0.01,
0,35,0.04,-10.05,-0.18,-0.01,-0.01,
0,35,0.04,-10.05,-0.18,-0.01,-0.01,
0,35,-0.01,-10.07,-0.16,0,-0.01,
0,35,-0.01,-10.07,-0.16,-0.01,-0.02,
0,35,-0.01,-10.07,-0.16,-0.01,-0.02,
0,35,0,-10.04,-0.15,-0.01,-0.01,
0,35,0,-10.04,-0.15,-0.01,-0.01,
0,35,0,-10.04,-0.15,-0.01,-0.01,
0,35,0.03,-10,-0.08,0,-0.01,
0,35,0.03,-10,-0.08,-0.01,-0.01,
0,35,0.03,-10,-0.08,-0.01,-0.01,
0,35,0.01,-9.99,-0.11,-0.01,-0.01,
0,35,0.01,-9.99,-0.11,-0.01,-0.01,
0,35,-0.01,-10.06,-0.09,-0.01,-0.01,
0,35,-0.01,-10.06,-0.09,-0.01,-0.01,
0,35,-0.01,-10.06,-0.09,-0.01,-0.01,
0,35,0.01,-10,-0.13,-0.01,-0.01,
0,35,0.01,-10,-0.13,-0.01,-0.01,
0,35,0.01,-10,-0.13,-0.01,-0.01,
0,35,0.01,-10.05,-0.16,-0.01,-0.01,
0,35,0.01,-10.05,-0.16,-0.01,-0.01,
0,35,0.01,-10.05,-0.16,-0.01,-0.01,
0,35,-0.01,-10.04,-0.15,-0.01,-0.01,
0,35,-0.01,-10.04,-0.15,-0.01,-0.01,
0,35,-0.01,-10.04,-0.15,-0.01,-0.01,
0,35,0.02,-9.98,-0.12,-0.01,-0.01,
0,35,0.02,-9.98,-0.12,-0.01,-0.01,
0,35,0.02,-9.98,-0.12,0,-0.01,
0,35,0.01,-10,-0.11,0,-0.01,
0,35,0.01,-10,-0.11,-0.01,-0.01,
0,35,0,-10.02,-0.11,-0.01,-0.01,
0,35,0,-10.02,-0.11,-0.01,-0.01,
0,35,0,-10.02,-0.11,-0.01,-0.01,
0,35,-0.06,-10.03,-0.1,-0.01,-0.01,
0,35,-0.06,-10.03,-0.1,-0.01,-0.01,
0,35,-0.06,-10.03,-0.1,0,-0.01,
0,35,-0.01,-10.05,-0.1,-0.01,-0.01,
0,35,-0.01,-10.05,-0.1,0,-0.01,
0,35,-0.01,-10.05,-0.1,0,-0.01,
0,35,0.03,-10,-0.1,-0.01,-0.01,
0,35,0.03,-10,-0.1,-0.01,-0.01,
0,35,0.03,-10,-0.1,-0.01,-0.01,
0,35,0.1,-9.99,-0.1,-0.01,-0.01,
0,35,0.1,-9.99,-0.1,-0.01,-0.01,
0,35,0.04,-10,-0.13,-0.01,-0.01,
0,35,0.04,-10,-0.13,-0.01,-0.01,
0,35,0.04,-10,-0.13,-0.01,-0.01,
0,35,0.02,-10.04,-0.11,-0.01,-0.01,
0,35,0.02,-10.04,-0.11,-0.01,-0.01,
0,35,0.02,-10.04,-0.11,-0.01,-0.01,
0,35,0.07,-10.01,-0.06,-0.01,-0.01,
0,35,0.07,-10.01,-0.06,-0.01,-0.01,
0,35,0.07,-10.01,-0.06,-0.01,-0.01,
0,35,-0.05,-10.05,-0.14,0,-0.01,
0,35,-0.05,-10.05,-0.14,-0.01,-0.01,
0,35,-0.05,-10.05,-0.14,-0.01,-0.01,
0,35,0.05,-10.03,-0.15,-0.01,-0.01,
0,35,0.05,-10.03,-0.15,0,-0.01,
0,35,0.05,-10.03,-0.15,0,-0.01,
0,35,0.01,-10.03,-0.13,-0.01,-0.01,
0,35,0.01,-10.03,-0.13,-0.01,-0.01,
0,35,0.01,-10.03,-0.13,-0.01,-0.01,
0,35,0.08,-10.09,-0.09,-0.01,-0.01,
0,35,0.08,-10.09,-0.09,-0.01,0,
0,35,0.08,-10.09,-0.09,-0.01,0,
0,35,-0.01,-9.98,-0.09,-0.01,-0.01,
0,35,-0.01,-9.98,-0.09,-0.01,-0.01,
0,35,-0.01,-9.98,-0.09,-0.01,-0.01,
0,35,-0.03,-10.06,-0.11,-0.01,-0.01,
0,35,-0.03,-10.06,-0.11,-0.01,-0.01,
0,35,-0.03,-9.99,-0.1,-0.01,-0.01,
0,35,-0.03,-9.99,-0.1,-0.01,-0.01,
0,35,-0.03,-9.99,-0.1,-0.01,-0.01,
0,35,0,-10.01,-0.12,-0.01,-0.01,
0,35,0,-10.01,-0.12,-0.01,-0.01,
0,35,0,-10.01,-0.12,-0.01,-0.01,
0,35,0,-10.06,-0.13,-0.01,-0.01,
0,35,0,-10.06,-0.13,-0.01,-0.01,
0,35,0,-10.06,-0.13,-0.01,-0.01,
0,35,-0.02,-9.99,-0.09,0,-0.01,
0,35,-0.02,-9.99,-0.09,0,-0.01,
0,35,-0.02,-9.99,-0.09,-0.01,-0.01,
0,35,0.07,-10.03,-0.11,-0.01,-0.01,
0,35,0.07,-10.03,-0.11,-0.01,-0.01,
0,35,0.02,-10.07,-0.13,0,-0.01,
0,35,0.02,-10.07,-0.13,-0.01,0,
0,35,0.02,-10.07,-0.13,-0.01,0,
0,35,0.05,-10.05,-0.17,-0.01,-0.01,
0,35,0.05,-10.05,-0.17,-0.01,-0.01,
0,35,0.05,-10.05,-0.17,-0.01,-0.01,
0,35,0,-10.05,-0.11,-0.01,-0.01,
0,35,0,-10.05,-0.11,-0.01,-0.01,
0,36,0,-10.05,-0.11,0,-0.01,
0,36,0.03,-9.99,-0.11,0,-0.01,
0,36,0.03,-9.99,-0.11,-0.01,-0.01,
0,36,-0.03,-10.03,-0.12,-0.01,-0.01,
0,36,-0.03,-10.03,-0.12,-0.01,-0.01,
0,36,-0.03,-10.03,-0.12,-0.01,-0.01,
0,36,0.04,-10.06,-0.1,-0.01,-0.01,
0,36,0.04,-10.06,-0.1,-0.01,-0.01,
0,36,0.04,-10.06,-0.1,0,-0.01,
0,36,0.05,-10.01,-0.11,-0.01,-0.01,
0,36,0.05,-10.01,-0.11,-0.01,-0.01,
0,36,0.05,-10.01,-0.11,-0.01,-0.01,
0,36,0.04,-10.03,-0.11,-0.01,-0.01,
0,36,0.04,-10.03,-0.11,-0.01,-0.01,
0,36,0.04,-10.03,-0.11,0,-0.01,
0,36,0.02,-10.05,-0.11,0,-0.01,
0,36,0.02,-10.05,-0.11,0,-0.01,
0,36,0.02,-10.05,-0.11,-0.01,-0.01,
0,36,0,-10.02,-0.11,-0.01,-0.01,
0,36,0,-10.02,-0.11,-0.01,-0.01,
0,36,0,-10.02,-0.11,-0.01,-0.01,
0,36,0.03,-10.05,-0.13,-0.01,-0.01,
0,36,0.03,-10.05,-0.13,-0.01,-0.01,
0,36,0.02,-10.06,-0.14,-0.01,-0.01,
0,36,0.02,-10.06,-0.14,-0.01,-0.01,
0,36,0.02,-10.06,-0.14,-0.01,-0.01,
0,36,0.03,-9.97,-0.11,-0.01,-0.01,
0,36,0.03,-9.97,-0.11,-0.01,-0.01,
0,36,0.03,-9.97,-0.11,-0.01,-0.01,
0,36,0.01,-10.02,-0.11,-0.01,-0.01,
0,36,0.01,-10.02,-0.11,0,-0.01,
0,36,0.01,-10.02,-0.11,0,-0.01,
0,36,-0.01,-10,-0.11,-0.01,-0.01,
0,36,-0.01,-10,-0.11,-0.01,-0.01,
0,36,-0.01,-10,-0.11,-0.01,-0.01,
0,36,0,-10.02,-0.14,-0.01,-0.01,
0,36,0,-10.02,-0.14,0,-0.01,
0,36,0,-10.02,-0.14,0,-0.01,
0,36,0,-10.03,-0.15,-0.01,-0.01,
0,36,0,-10.03,-0.15,-0.01,-0.01,
0,36,0,-10.03,-0.15,-0.01,-0.01,
0,36,-0.08,-10.1,-0.2,-0.01,-0.01,
0,36,-0.08,-10.1,-0.2,-0.01,-0.01,
0,36,0.1,-10.07,-0.01,-0.01,-0.01,
0,36,0.1,-10.07,-0.01,0,-0.01,
0,36,0.1,-10.07,-0.01,-0.01,-0.01,
0,36,0.05,-10,0,-0.01,-0.01,
0,36,0.05,-10,0,-0.01,-0.01,
0,36,0.05,-10,0,-0.01,-0.01,
0,36,-0.09,-10.07,-0.23,-0.01,-0.01,
0,36,-0.09,-10.07,-0.23,-0.01,-0.01,
0,36,-0.09,-10.07,-0.23,-0.01,-0.01,
0,36,-0.07,-10.08,-0.22,-0.01,-0.01,
0,36,-0.07,-10.08,-0.22,0,-0.01,
0,36,-0.07,-10.08,-0.22,0,-0.01,
0,36,0.15,-10,-0.07,0,-0.01,
0,36,0.15,-10,-0.07,-0.01,-0.01,
0,36,0.15,-10,-0.07,-0.01,-0.01,
0,36,0.07,-9.95,-0.07,0,-0.01,
0,36,0.07,-9.95,-0.07,-0.01,-0.01,
0,36,0.07,-9.95,-0.07,-0.01,-0.01,
0,36,-0.06,-10.07,-0.17,-0.01,-0.01,
0,36,-0.06,-10.07,-0.17,-0.01,-0.01,
0,36,-0.06,-10.07,-0.17,-0.01,-0.01,
0,36,-0.04,-10.04,-0.12,-0.01,-0.01,
0,36,-0.04,-10.04,-0.12,-0.01,-0.01,
0,36,-0.04,-10.04,-0.12,0,-0.01,
0,36,0.02,-10.05,-0.05,0,-0.01,
0,36,0.02,-10.05,-0.05,0,-0.01,
0,36,0.02,-10.05,-0.05,-0.01,-0.01,
0,36,0.13,-10.01,-0.1,0,0,
0,36,0.13,-10.01,-0.1,0,0,
0,36,0.13,-10.01,-0.1,-0.01,-0.01,
0,36,0,-10.06,-0.14,-0.01,-0.01,
0,36,0,-10.06,-0.14,-0.01,-0.01,
0,36,0,-10.06,-0.14,-0.01,0,
0,36,-0.02,-10.06,-0.23,-0.01,-0.01,
0,36,-0.02,-10.06,-0.23,-0.01,-0.01,
0,36,-0.02,-10.06,-0.23,-0.01,-0.01,
0,36,-0.02,-10.01,-0.16,0,-0.01,
0,36,-0.02,-10.01,-0.16,0,-0.01,
0,36,-0.02,-10.01,-0.16,-0.01,-0.01,
0,36,0.07,-10,-0.07,-0.01,0,
0,36,0.07,-10,-0.07,-0.01,0,
0,36,0.07,-10,-0.07,-0.01,-0.01,
0,36,0,-10.03,-0.07,0,-0.01,
0,36,0,-10.03,-0.07,0,-0.01,
0,36,-0.06,-10.01,-0.15,-0.01,-0.01,
0,36,-0.06,-10.01,-0.15,-0.01,-0.01,
0,36,-0.06,-10.01,-0.15,-0.01,-0.01,
0,36,0.06,-9.93,-0.05,-0.01,0,
0,36,0.06,-9.93,-0.05,-0.01,-0.01,
0,36,0.06,-9.93,-0.05,-0.01,-0.01,
0,36,0.03,-10,-0.11,0,-0.01,
0,36,0.03,-10,-0.11,0,-0.01,
0,36,0.03,-10,-0.11,0,-0.01,
0,36,0.07,-10.06,-0.1,0,-0.01,
0,36,0.07,-10.06,-0.1,-0.01,-0.01,
0,36,0.07,-10.06,-0.1,-0.01,-0.01,
0,36,0.09,-10.03,-0.11,-0.01,-0.01,
0,36,0.09,-10.03,-0.11,0,-0.01,
0,36,0.01,-10,-0.11,0,-0.01,
0,36,0.01,-10,-0.11,0,-0.01,
0,36,0.01,-10,-0.11,0,-0.01,
0,36,0.11,-10,-0.1,-0.01,-0.01,
0,36,0.11,-10,-0.1,-0.01,-0.01,
0,36,0.11,-10,-0.1,-0.01,-0.01,
0,36,0.04,-10.03,-0.13,0,-0.01,
0,36,0.04,-10.03,-0.13,0,-0.01,
0,36,0.04,-10.03,-0.13,-0.01,-0.01,
0,36,0.06,-10.03,-0.14,-0.01,-0.01,
0,36,0.06,-10.03,-0.14,-0.01,-0.01,
0,36,0.06,-10.03,-0.14,0,-0.02,
0,36,0.06,-9.99,-0.14,-0.01,0,
0,36,0.06,-9.99,-0.14,-0.01,0,
0,36,0.06,-9.99,-0.14,-0.01,-0.01,
0,36,0.04,-10.01,-0.13,-0.01,-0.01,
